source,source_key,entity_type,release_window,window_start,window_end,entity_id,num_docs,inferred_log_docs,log_doc_rate
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Quarkus,185,24,0.129730
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Quick Reload,2,1,0.500000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,RESTEasy,47,15,0.319149
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,RHEL,17,3,0.176471
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,RHEL Conversions,6,6,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,RHEL Testing,4,4,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Ranger,46,25,0.543478
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Ratis,40,19,0.475000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Reactive JVM Platform,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat 3scale API Management,184,19,0.103261
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat Advanced Cluster Management,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat Build of Apache Camel for Quarkus,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat Cluster Management Cloud Services,1,0,0.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat CodeReady Studio (devstudio),3,3,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat CodeReady Workspaces,35,35,1.000000
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat Data Grid,26,8,0.307692
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat Decision Manager,85,32,0.376471
JIRA,jira,project,2021-01_to_2021-04,2021-01,2021-04,Red Hat Fuse,184,75,0.407609
